"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000239246",140.924320099833,-0.985765068971499,0.198679456527581,-4.96158529019658,6.99201556874491e-07,1.14838558735144e-05
"ENSG00000244097",348.358784762242,-0.691421184563237,0.143163667840866,-4.82958557147186,1.36817508515429e-06,2.18103204751066e-05
"ENSG00000242439",133.013351424513,-0.925241393066445,0.192396587666516,-4.80903224058307,1.51662746386868e-06,2.34860595833378e-05
"ENSG00000240898",346.057535158653,-0.77899030429689,0.164095155696465,-4.74718647842248,2.06265765945486e-06,3.10544569840148e-05
"ENSG00000108840",178.898997645622,0.891944833578607,0.195469847059356,4.56308145218817,5.04082467094407e-06,7.32856259120059e-05
"ENSG00000228331",133.165745008295,-0.873967508553989,0.191698710248864,-4.55906827656483,5.13810661375687e-06,7.32856259120059e-05
"ENSG00000267679",249.591244964249,-0.70418598983641,0.15599372703187,-4.51419427713616,6.35579342884705e-06,8.83292317547462e-05
"ENSG00000242067",284.841480273735,-0.664114989870498,0.148898519122932,-4.46018532475933,8.1888811395705e-06,0.00011095933944118
"ENSG00000132507",548.137465527332,-0.631866246179303,0.145272359196004,-4.34952835953313,1.3643064022306e-05,0.000180354651221704
"ENSG00000262333",384.046528304856,-0.619639585110811,0.144331993521973,-4.29315476070439,1.76152130773603e-05,0.000227320130664982
"ENSG00000270781",239.493128909055,-0.714698152404012,0.167238502874771,-4.27352637173019,1.92405515911127e-05,0.000242520440985653
"ENSG00000243514",99.3984684042587,-0.984696273128562,0.234140060060581,-4.20558648901765,2.60405978154779e-05,0.000320772818545205
"ENSG00000226145",97.2272937678771,1.07749612770213,0.258121444456458,4.1743766387604,2.98803074244819e-05,0.000359891702757093
"ENSG00000243423",175.532149265899,-0.711468376627241,0.171265047356099,-4.15419484366787,3.26434933401228e-05,0.000384625508485794
"ENSG00000244086",175.675058916709,-0.76753587440989,0.186421639528567,-4.11720375569529,3.83497002812968e-05,0.000442245479839635
"ENSG00000186831",71.1774085546137,1.19513085147369,0.293752488571171,4.06849609100123,4.7317554764353e-05,0.000525567261181412
"ENSG00000244559",60.6109293960248,-1.10275867685438,0.271112705488753,-4.06752857586059,4.75143833909394e-05,0.000525567261181412
"ENSG00000129219",61.4965008743055,1.01944114987653,0.252237950074999,4.041585136469,5.30910988269511e-05,0.00057550751128415
"ENSG00000224126",73.4826115011708,-0.953018971718459,0.236881956381448,-4.02318093904891,5.74173507414646e-05,0.000610200080428898
"ENSG00000168610",120.156053986627,0.760728848336948,0.190203446794358,3.9995534316443,6.34621191690389e-05,0.000661470549800367
"ENSG00000239223",147.961240106372,-0.757189082096948,0.189623770727238,-3.99311267354828,6.52115615870612e-05,0.000666880497739381
"ENSG00000131747",201.595411422022,-0.81375412985907,0.20699940718319,-3.93119062963749,8.45262151285152e-05,0.000848392751845467
"ENSG00000174282",30.116985934136,1.42547034329092,0.36578654354498,3.89700050055458,9.73914179254014e-05,0.000959748154828501
"ENSG00000263266",412.91821211751,-0.58474138301107,0.15063177234208,-3.88192593049454,0.000103632445600422,0.00100301402706123
"ENSG00000184557",61.8533687176742,1.12718202487607,0.290896163546014,3.874860400824,0.000106685841390221,0.00101445133392105
"ENSG00000244753",56.7139577667294,-1.00728175977994,0.264436001529589,-3.8091702867744,0.000139433906517448,0.00130298581607684
"ENSG00000228218",202.944987137373,-0.686025555935747,0.185008390496265,-3.70807807200288,0.00020883827532274,0.00191848042754111
"ENSG00000188554",120.171625407431,0.748692360281075,0.203062595467689,3.68700281091504,0.000226910851491613,0.00204976135847424
"ENSG00000228979",259.320159385104,-0.564096328152747,0.155100842169609,-3.63696495945447,0.00027586944266844,0.00245116783485729
"ENSG00000006283",34.3635463244439,1.23640398403011,0.340825286991929,3.62767679282959,0.0002859829457292,0.00250004446105204
"ENSG00000240103",264.026931419844,0.585410947630686,0.161706504270734,3.62020656046445,0.00029436792232991,0.00253249863337795
"ENSG00000175906",9.87884440955035,2.35315237493016,0.653263416688646,3.60214932417025,0.000315596981175708,0.00267271193433178
"ENSG00000264655",490.340238177338,-0.579744593007702,0.161994070433694,-3.57880131942853,0.000345173744103455,0.00287821798929342
"ENSG00000035862",38.5854642891133,1.08702639862294,0.308306853799784,3.52579381621163,0.000422215541406075,0.00343328972629313
"ENSG00000249176",15.3624640555061,-1.79645226968609,0.509715663888323,-3.52442037190305,0.000424410353619262,0.00343328972629313
"ENSG00000266648",104.069864059939,-0.718456114535687,0.204172217299722,-3.51887305744936,0.000433384023159978,0.00345432559636335
"ENSG00000033627",59.8825461609943,0.916507856400675,0.261047311568194,3.5108879340489,0.000446612632755634,0.00350817459352976
"ENSG00000232083",239.280569887743,-0.598587281300486,0.173018019179941,-3.45968173799255,0.000540814186715312,0.00417125474161137
"ENSG00000275029",243.205455460099,-0.575268400540683,0.166411436433229,-3.4569042421042,0.000546418979067172,0.00417125474161137
"ENSG00000180340",87.4655037769875,0.795094726457837,0.231488253222305,3.43470873960194,0.000593191019668158,0.0044654101758353
"ENSG00000141696",70.0449175335426,0.845588657621536,0.255215024516949,3.31324011672902,0.000922217683793864,0.00684715047419554
"ENSG00000128422",83.6185907253537,0.999672119903346,0.304997381579967,3.27764164637998,0.00104678195659773,0.00766697054697255
"ENSG00000161547",317.521080215464,-0.490870005296942,0.150318899908261,-3.26552419952859,0.00109261669030743,0.00789597661528833
"ENSG00000263563",275.652153796587,0.475960676777254,0.147254383620765,3.23223434898231,0.00122826280170186,0.00875945313845274
"ENSG00000132535",15.8767020125302,1.63038747284344,0.505844196719675,3.22310206070616,0.0012681036182441,0.00892613196218576
"ENSG00000121064",23.1674536868407,1.24889005157728,0.38888332942394,3.21147747173242,0.00132054324018109,0.00915778927688438
"ENSG00000242692",126.694044646549,-0.620892750771794,0.193521638522999,-3.2083892814808,0.00133480692412152,0.00915778927688438
"ENSG00000186244",40.4251469861464,-0.97047488170029,0.303725752149878,-3.19523410455296,0.00139717458844812,0.00946585783673603
"ENSG00000159199",116.265919318571,-0.658887735980273,0.207041285766558,-3.18239781761779,0.00146061044936233,0.00965427882383393
"ENSG00000204652",88.1851092551419,-0.743280043194706,0.233548401571006,-3.1825524738979,0.00145983060449205,0.00965427882383393
"ENSG00000240270",23.2472961296857,-1.24914361250334,0.396424608859468,-3.15102439300421,0.00162698901574623,0.0106244342955959
"ENSG00000213179",34.5131044639552,-1.01742737251949,0.329490023458052,-3.08788521680087,0.00201586316673605,0.013007117099654
"ENSG00000108819",95.8228331102337,0.62670615114695,0.205792934401749,3.04532394646501,0.00232429811794042,0.014648483487485
"ENSG00000271029",13.5347612680033,-1.65764813201343,0.544107342907217,-3.04654615237584,0.00231486938588881,0.014648483487485
"ENSG00000083290",25.6817552567196,1.12311747756804,0.37202180991566,3.01895600643054,0.00253647361318035,0.0158019390614224
"ENSG00000243521",74.3360449472834,-0.73141646829297,0.24256399302235,-3.01535466653361,0.00256678917320609,0.0158090878622466
"ENSG00000132470",129.188813291233,0.586942545054159,0.199416506326149,2.94329970907326,0.00324733873757281,0.019556195508494
"ENSG00000186847",722.073550819504,1.23231056884868,0.418569120292607,2.94410291898077,0.00323892272437469,0.019556195508494
"ENSG00000180616",33.4213377822737,-1.01530116608477,0.347347560888802,-2.92301222293539,0.00346662907684445,0.0206473951609856
"ENSG00000266529",86.0511527259231,0.640671994159392,0.222465074021024,2.87987674909746,0.00397830660517405,0.0234374150000471
"ENSG00000131473",211.952889840896,-0.484598013477666,0.169677801170633,-2.85598947024507,0.00429029362444064,0.025003646714482
"ENSG00000185722",26.8785659777919,1.01994687752156,0.360319182606742,2.83067604156604,0.00464497417023176,0.026782723407081
"ENSG00000126368",58.0532449298741,0.743675660973595,0.264143630112565,2.81542152145284,0.0048713293028993,0.0277922156018044
"ENSG00000229944",137.651450762403,-0.508826812452187,0.181618395000829,-2.80162597213715,0.00508457857079928,0.0287066831809709
"ENSG00000177469",601.768954741482,0.357898991282951,0.128113016500114,2.7936192672712,0.00521218047563956,0.0291237300803777
"ENSG00000005882",10.3709168981857,1.65498997227119,0.593675421579241,2.7877016836384,0.00530834005351766,0.0293583705000671
"ENSG00000240480",106.711503672493,-0.587486745742999,0.211449587214951,-2.7783773592605,0.00546311318595022,0.0296100734678502
"ENSG00000253506",268.121993009776,-0.416693025150473,0.149897515990125,-2.77985277072853,0.00543835487629781,0.0296100734678502
"ENSG00000078687",79.6229709012858,0.659004088537075,0.238481302154879,2.76333650723314,0.00572137471877497,0.030401814682118
"ENSG00000239256",34.0011508092806,-0.928992080434887,0.33604722884638,-2.76446880286451,0.00570155588984583,0.030401814682118
"ENSG00000108953",693.836532502776,-0.329374618713507,0.120592257011817,-2.73130818574224,0.00630834505389107,0.0328761828770092
"ENSG00000132581",44.3711055840109,0.804760602851174,0.294419403774112,2.73338167435667,0.00626876429213722,0.0328761828770092
"ENSG00000121104",15.4621359952277,1.2896053701381,0.472867281154306,2.72720363944419,0.00638736061013652,0.0329709471494666
"ENSG00000265593",23.9257172492202,-1.0507029971713,0.38747597352845,-2.71165973880482,0.00669472754808115,0.0342315314250942
"ENSG00000141232",79.4811788572737,0.594861991112733,0.222022051667614,2.67929237949433,0.00737779409941412,0.0370255963137264
"ENSG00000161654",118.268704782355,-0.521594984593297,0.19459122840807,-2.68046503873998,0.00735199438656338,0.0370255963137264
"ENSG00000161970",57.958571278916,-0.734339587892953,0.275260279140701,-2.66780078181056,0.0076349514679097,0.0379646210606152
"ENSG00000141497",32.9243071776167,0.969762861738042,0.364144702252478,2.6631250042618,0.0077418648228855,0.0381462794000358
"ENSG00000200783",11.8541033992908,1.59522237653819,0.602826044261665,2.64623997540121,0.00813920531059517,0.0397427862913746
"ENSG00000256358",59.4107923985544,-0.693834860675497,0.26471570560659,-2.62105665051339,0.00876576943596536,0.0424200628061895
"ENSG00000108515",110.828896914706,-0.548112844692073,0.209665946177674,-2.61421968938912,0.00894315113147611,0.0428954682589385
"ENSG00000087152",116.372553143245,0.494708434845664,0.190846819925921,2.59217541606242,0.00953711292178416,0.0453431158211142
"ENSG00000108256",89.7593802681699,0.553040639910816,0.214017214943753,2.58409418165806,0.009763512888066,0.0456191722873429
"ENSG00000173801",268.526413501353,0.386322294028015,0.14933968321622,2.58686964983502,0.009685222344177,0.0456191722873429
