"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000102804",193.680040043304,1.02197907937754,0.167770979778924,6.09151285117501,1.11848604817563e-09,7.82940233722939e-08
"ENSG00000180172",579.351139278747,-0.841969735038307,0.137026573512716,-6.14457264349656,8.01790897537454e-10,7.82940233722939e-08
"ENSG00000234031",403.415597265331,-0.787966893944475,0.127853248683648,-6.16305727118573,7.13536854641131e-10,7.82940233722939e-08
"ENSG00000102531",181.698424306045,1.25784153289327,0.215067357568844,5.84859342260078,4.95747182202525e-09,2.27856295142583e-07
"ENSG00000151846",1455.37491064645,-0.581745819392047,0.0997236862797298,-5.83357716801826,5.42514988434722e-09,2.27856295142583e-07
"ENSG00000136156",72.8548607510218,1.39112215534006,0.252519053334053,5.50897897395397,3.6092100926668e-08,1.26322353243338e-06
"ENSG00000213621",472.186605712616,-0.662517657459019,0.124309471456827,-5.32958309366726,9.84384746363452e-08,2.95315423909036e-06
"ENSG00000232105",163.86068878387,-0.913245983332069,0.174629949993484,-5.22960685361328,1.69870895884892e-07,4.45911101697841e-06
"ENSG00000214222",367.493017460751,-0.753189370856018,0.146140140719506,-5.15388425895696,2.55145455171401e-07,5.95339395399936e-06
"ENSG00000226525",513.534962902782,-0.612209031445186,0.122173570970866,-5.01097763272531,5.41542095084997e-07,1.13723839967849e-05
"ENSG00000125304",184.801807844487,0.799358714448271,0.164568704647389,4.85729480681643,1.19000352552854e-06,2.27182491237268e-05
"ENSG00000005810",92.033945313558,1.04876166001627,0.231451637964913,4.53123455611601,5.86399859836563e-06,0.000102619975471399
"ENSG00000228501",214.731645622688,-0.751370967195043,0.168073459832447,-4.47049146215047,7.80400594199786e-06,0.000126064711370735
"ENSG00000232187",2087.70605914226,1.14545250407805,0.263916625725936,4.34020593029082,1.42349250946746e-05,0.000213523876420119
"ENSG00000139675",582.382377892561,-0.505273340062474,0.117771786541615,-4.29027490284299,1.78452081913728e-05,0.000249832914679219
"ENSG00000279124",30.9945720712375,1.60954668110934,0.378530107157874,4.2520968627683,2.11778218842803e-05,0.000277958912231179
"ENSG00000122026",749.82194423503,-0.480432090017889,0.117798169183209,-4.07843426896289,4.53400170155888e-05,0.000560082563133744
"ENSG00000214269",11.5303389617635,2.3731977223945,0.645146747569411,3.67853938865152,0.000234573468323638,0.00264912239637951
"ENSG00000233588",43.9676060013193,-1.30146174881668,0.354328283523516,-3.67303940818573,0.000239682502529575,0.00264912239637951
"ENSG00000232373",165.676442289796,0.664931636465296,0.18430050616398,3.60786657782523,0.000308725170316663,0.00324161428832496
"ENSG00000229423",67.2926480579293,-0.930803484793919,0.259670128342882,-3.58456126907611,0.000337645298722855,0.00337645298722855
"ENSG00000198033",649.317822173194,-0.563311146199537,0.158919563580804,-3.54463058862553,0.000393163690829823,0.00375292613973922
"ENSG00000218502",176.792167154962,-0.791613264496506,0.225577393943906,-3.50927568873925,0.000449328892393466,0.00410256814794034
"ENSG00000224892",371.26113088501,-0.447340098770092,0.128897813170951,-3.47050184766755,0.00051948676900321,0.00454550922877809
"ENSG00000136158",146.468820361378,0.807166088430924,0.235474580436309,3.42782684625802,0.000608433399001754,0.00500165846773414
"ENSG00000223460",2063.45671994889,-0.31018534175669,0.0906169584637318,-3.4230385461551,0.000619252953148036,0.00500165846773414
"ENSG00000232587",2523.14242667202,-0.313577889945362,0.092686509126045,-3.38320962675296,0.00071643924379453,0.00557230522951301
"ENSG00000189403",758.762960334844,-0.35718712442544,0.108213719064227,-3.30075638758375,0.000964245675011673,0.00723184256258755
"ENSG00000136149",293.952934784191,-0.471830906450587,0.143432067664281,-3.28957752707687,0.00100337910771612,0.00726584871104777
"ENSG00000165556",39.1622114005855,1.09530191569009,0.339487474373728,3.22633969842526,0.0012538444566264,0.0087769111963848
"ENSG00000185896",71.6700775309028,0.841816352225237,0.263973551471615,3.18901779186676,0.00142757091011309,0.00967064164915321
"ENSG00000214263",164.146431548859,-0.578124162875398,0.184000319015887,-3.14197369856452,0.00167813109720852,0.0108943892399555
"ENSG00000226703",99.1466618183468,-0.666527320424169,0.212532282109392,-3.13612272831617,0.00171197545199301,0.0108943892399555
"ENSG00000233873",39.3499655772715,-1.03825319613108,0.337490879841167,-3.07638889862656,0.00209524369766962,0.0129412110738417
"ENSG00000201793",14.2962065539756,1.83608130581721,0.599786891393939,3.06122279790086,0.0022043499992432,0.0132260999954592
"ENSG00000121741",75.1362908833874,0.733507121657515,0.251446053653442,2.91715503584112,0.0035324014542909,0.0200487650108402
"ENSG00000180138",257.341093554568,0.42728060740433,0.146151662805957,2.92354256668035,0.00346072903912513,0.0200487650108402
"ENSG00000236534",364.956410116192,0.37197918709581,0.130044714268566,2.86039451267204,0.00423114289729117,0.0233826318008196
"ENSG00000005812",24.9503562670835,1.17018718793014,0.421306196751523,2.77752189963703,0.0054775148776107,0.0294943108794422
"ENSG00000152520",76.6739999918419,0.65918089962237,0.238294676258937,2.76624266211506,0.00567063208796455,0.0297708184618139
"ENSG00000237109",99.3133580599894,-0.611837440517181,0.222221604221173,-2.75327613920125,0.00590021062407213,0.0302205910013451
"ENSG00000150276",682.872194645331,-0.341111922608154,0.124357439392302,-2.74299570878162,0.00608814810892086,0.0304407405446043
"ENSG00000214878",142.913969076807,-0.520874960602729,0.19826161768031,-2.62721028254002,0.00860881155908714,0.0420430331955418
"ENSG00000225823",91.3513691502083,-0.612614762691729,0.236278326336084,-2.59276748820516,0.00952071125265119,0.0454397582512898
"ENSG00000150457",18.8823230636871,1.17554741757579,0.470308021248305,2.49952661758909,0.0124359356529325,0.0580343663803516
"ENSG00000234354",129.917967745847,-0.478139998682985,0.193581451865575,-2.46996803709795,0.0135125124992862,0.0616875570619588
"ENSG00000237263",61.1978146563763,0.667520196084317,0.271811948082424,2.4558162391077,0.0140565015063432,0.0628056450283419
"ENSG00000102678",11.1803927560686,1.53541669829974,0.632108697149558,2.42903903272266,0.0151389023996279,0.0648810102841195
"ENSG00000215571",68.5016348857605,-0.626588969376463,0.25720134779434,-2.43618073835868,0.0148432659224927,0.0648810102841195
"ENSG00000223676",87.1915993474609,-0.573256819392805,0.236752297261478,-2.42133582661577,0.0154635841850634,0.0649470535772662
"ENSG00000233780",116.189007978787,-0.47500876658993,0.198855491492712,-2.3887133466834,0.0169074884734737,0.0696190701848919
"ENSG00000172915",24.6872861834473,1.01214635868439,0.425210634076827,2.38034112406868,0.0172966178744113,0.0698517260312763
"ENSG00000234145",270.703073952841,-0.332397528287791,0.141185855888413,-2.35432597830837,0.0185563301012811,0.0735250815333778
"ENSG00000227969",94.4673581477691,-0.515475743647519,0.223957494468461,-2.30166775562008,0.0213539159176232,0.0830430063463123
"ENSG00000065150",209.825623948461,-0.376259828059624,0.165290609204861,-2.27635332623941,0.0228248708106506,0.0871495067315751
"ENSG00000233460",51.6215074721309,-0.635615107022987,0.286509072346925,-2.21848160624156,0.0265220123735388,0.0994575464007707
"ENSG00000068650",40.0255979154931,0.73992731577823,0.337941232760348,2.18951475596632,0.0285594472364954,0.105219016134457
"ENSG00000236565",731.249121813134,-0.236058084320416,0.108242904675091,-2.18081808714376,0.0291968742206616,0.10571282045412
"ENSG00000120690",28.4414071103551,0.829568015683291,0.386075228225191,2.14872116892053,0.0316565095899044,0.11267571209966
"ENSG00000088387",37.2466635167539,0.705062807842061,0.338954841913007,2.08010838217504,0.0375155929439486,0.13130457530382
"ENSG00000102471",25.8027168145073,0.827267485843113,0.400973982285526,2.06314504778525,0.039098849288175,0.134602595910111
"ENSG00000133083",18.0271116463904,0.934475150265596,0.484098502100288,1.93034092485584,0.0535646094063906,0.1812059690232
