##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	SRR6638905.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3417236
Sequences flagged as poor quality	0
Sequence length	51
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.357724781080385	34.0	33.0	34.0	31.0	34.0
2	33.33501958893094	34.0	34.0	34.0	33.0	34.0
3	33.47476557077123	34.0	34.0	34.0	33.0	34.0
4	36.70881144878492	37.0	37.0	37.0	37.0	37.0
5	36.745204018686444	37.0	37.0	37.0	37.0	37.0
6	36.78517345597436	37.0	37.0	37.0	37.0	37.0
7	36.76054770580668	37.0	37.0	37.0	37.0	37.0
8	36.77324773588947	37.0	37.0	37.0	37.0	37.0
9	38.77206637176946	39.0	39.0	39.0	39.0	39.0
10	38.795534753818586	39.0	39.0	39.0	39.0	39.0
11	38.793310734172294	39.0	39.0	39.0	39.0	39.0
12	38.75559048306877	39.0	39.0	39.0	39.0	39.0
13	38.760860239093816	39.0	39.0	39.0	39.0	39.0
14	40.56167938064564	41.0	41.0	41.0	40.0	41.0
15	40.5488652232389	41.0	41.0	41.0	40.0	41.0
16	40.55284299942995	41.0	41.0	41.0	40.0	41.0
17	40.52170028643032	41.0	41.0	41.0	40.0	41.0
18	40.5160711756519	41.0	41.0	41.0	40.0	41.0
19	40.53003480005478	41.0	41.0	41.0	40.0	41.0
20	40.51135742453843	41.0	41.0	41.0	40.0	41.0
21	40.49757435541473	41.0	41.0	41.0	40.0	41.0
22	40.46102727467462	41.0	41.0	41.0	40.0	41.0
23	40.44933741772591	41.0	41.0	41.0	39.0	41.0
24	40.43492108827134	41.0	41.0	41.0	39.0	41.0
25	40.40207670760814	41.0	41.0	41.0	39.0	41.0
26	40.37429548325021	41.0	41.0	41.0	39.0	41.0
27	40.32782664118018	41.0	40.0	41.0	39.0	41.0
28	40.29700114361431	41.0	40.0	41.0	39.0	41.0
29	40.26942242209786	41.0	40.0	41.0	39.0	41.0
30	40.2213636986149	41.0	40.0	41.0	39.0	41.0
31	40.18362091468075	41.0	40.0	41.0	39.0	41.0
32	40.15105336593668	41.0	40.0	41.0	39.0	41.0
33	40.09080964849955	41.0	40.0	41.0	38.0	41.0
34	40.04534278580701	41.0	40.0	41.0	38.0	41.0
35	40.10271225048548	41.0	40.0	41.0	38.0	41.0
36	40.1075190592631	41.0	40.0	41.0	38.0	41.0
37	40.076616891546266	41.0	40.0	41.0	38.0	41.0
38	40.056862329672285	41.0	40.0	41.0	38.0	41.0
39	40.02212958074889	41.0	40.0	41.0	38.0	41.0
40	39.97853177246172	41.0	40.0	41.0	38.0	41.0
41	39.928400613829425	41.0	40.0	41.0	38.0	41.0
42	39.86288275085479	41.0	40.0	41.0	38.0	41.0
43	39.91323601881755	41.0	40.0	41.0	38.0	41.0
44	39.90357411662525	41.0	40.0	41.0	37.0	41.0
45	39.866254189058054	41.0	40.0	41.0	37.0	41.0
46	39.81825925982285	41.0	40.0	41.0	37.0	41.0
47	39.75316044897104	41.0	40.0	41.0	37.0	41.0
48	39.67624741165082	41.0	40.0	41.0	36.0	41.0
49	39.60239474241756	41.0	40.0	41.0	36.0	41.0
50	39.51297481356277	41.0	39.0	41.0	36.0	41.0
51	39.216128180787045	41.0	39.0	41.0	35.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.806730245732421
1101	2	-0.15340160992872143
1101	3	-0.03421297570135806
1101	4	-0.02650892170314023
1101	5	-0.009272479980147352
1101	6	0.014352778926692622
1101	7	-0.029221902065692973
1101	8	0.0034720240152879
1101	9	0.029782893925059284
1101	10	0.024105446723126533
1101	11	0.04001189802518468
1101	12	0.06912228812535659
1101	13	0.04176285455131534
1101	14	0.040753602125690236
1101	15	0.04566774947622321
1101	16	0.01401464986413714
1101	17	0.04434454325105719
1101	18	0.07687557339409068
1101	19	0.0600951717946856
1101	20	0.06706449354059174
1101	21	0.051128764886961164
1101	22	0.07237483799121236
1101	23	0.04787933077984974
1101	24	0.03773486509300028
1101	25	0.016913404561442746
1101	26	0.05299330688107773
1101	27	0.07370197252756583
1101	28	0.07423799732288217
1101	29	0.047653792131399086
1101	30	0.04800850543131929
1101	31	0.04400479068837626
1101	32	0.03257909312434748
1101	33	-0.043924294062200886
1101	34	0.05671312715328014
1101	35	0.08463241503984875
1101	36	0.05003562683651097
1101	37	0.1338881226738664
1101	38	0.10755110463469464
1101	39	0.11197319969317476
1101	40	0.012070192999296125
1101	41	3.8611928872001045E-5
1101	42	0.023335320468802934
1101	43	0.06697266656706091
1101	44	0.10181698310380227
1101	45	0.09563070522121109
1101	46	0.08214650124860867
1101	47	0.03483552323255168
1101	48	0.10019777408039943
1101	49	0.04589417265560769
1101	50	0.008263586966194225
1101	51	0.10981666334122764
1102	1	-0.5061253934027974
1102	2	-0.17183436684563702
1102	3	-0.013023820310870349
1102	4	0.0867530547657438
1102	5	0.04705576788047949
1102	6	0.03191973293748873
1102	7	0.004075611441365368
1102	8	0.03989780235026075
1102	9	-0.009372418013782635
1102	10	0.005569943462418792
1102	11	0.0312644765028125
1102	12	0.01974748548788341
1102	13	0.009728304129410503
1102	14	0.05296046476451011
1102	15	0.059087773073315475
1102	16	0.04409969053063634
1102	17	0.03140667336814573
1102	18	0.044285972769444015
1102	19	0.027218384141839636
1102	20	0.020485522606499273
1102	21	-0.007129511770926911
1102	22	0.037616566831985665
1102	23	-0.008766582382207844
1102	24	0.0174435619268678
1102	25	0.05868450644528167
1102	26	-0.03792982345752449
1102	27	-0.03792643133783713
1102	28	-0.03693935951956462
1102	29	-0.03124000365474444
1102	30	-0.015437676065232608
1102	31	0.030087217135978506
1102	32	0.05850573474855736
1102	33	0.04602588810047337
1102	34	0.09118091208978285
1102	35	0.0016702410906006548
1102	36	0.023858717741887858
1102	37	0.10620112511369939
1102	38	-0.0029148830263139303
1102	39	-0.040355795984879705
1102	40	-0.014367509567314585
1102	41	-0.021482033959152602
1102	42	-0.03485383020855437
1102	43	0.04583174225843578
1102	44	0.011707182767914048
1102	45	0.03662633928711756
1102	46	-0.027094071303032763
1102	47	-0.013059983421605637
1102	48	-0.0021449682415095594
1102	49	-0.08255022570484982
1102	50	-0.10429063372477998
1102	51	-0.07813263589414987
1103	1	-0.8334252657007539
1103	2	-0.17604499597194234
1103	3	-0.04430453408546242
1103	4	0.009005114096460431
1103	5	0.00482738913499503
1103	6	0.03793096966467857
1103	7	0.04332461697667611
1103	8	0.0031126245601882374
1103	9	0.041945117930382025
1103	10	0.007178281554971022
1103	11	0.037759091933089906
1103	12	0.0406906792788817
1103	13	0.04106998853897181
1103	14	0.06422409506431137
1103	15	0.06383938864892968
1103	16	0.1011635260543784
1103	17	0.08372532666864885
1103	18	0.06706866670065637
1103	19	0.05422457390409363
1103	20	0.08451916436059292
