##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	TRIMMED_SRR6638905.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3417037
Sequences flagged as poor quality	0
Sequence length	1-39
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.76089723348035	39.0	39.0	39.0	39.0	39.0
2	40.56171640535261	41.0	41.0	41.0	40.0	41.0
3	40.548904950986476	41.0	41.0	41.0	40.0	41.0
4	40.55287520544289	41.0	41.0	41.0	40.0	41.0
5	40.52172874754828	41.0	41.0	41.0	40.0	41.0
6	40.51612154592652	41.0	41.0	41.0	40.0	41.0
7	40.530074358407056	41.0	41.0	41.0	40.0	41.0
8	40.51139949036436	41.0	41.0	41.0	40.0	41.0
9	40.49764847805168	41.0	41.0	41.0	40.0	41.0
10	40.46109787144625	41.0	41.0	41.0	40.0	41.0
11	40.449414338757244	41.0	41.0	41.0	39.0	41.0
12	40.43501763003615	41.0	41.0	41.0	39.0	41.0
13	40.4021569926076	41.0	41.0	41.0	39.0	41.0
14	40.3743964519658	41.0	41.0	41.0	39.0	41.0
15	40.327948568013575	41.0	40.0	41.0	39.0	41.0
16	40.29709553866474	41.0	40.0	41.0	39.0	41.0
17	40.269555124162935	41.0	40.0	41.0	39.0	41.0
18	40.22154388086505	41.0	40.0	41.0	39.0	41.0
19	40.183795034969684	41.0	40.0	41.0	39.0	41.0
20	40.15125770784512	41.0	40.0	41.0	39.0	41.0
21	40.090977522828375	41.0	40.0	41.0	38.0	41.0
22	40.04554271960365	41.0	40.0	41.0	38.0	41.0
23	40.10289766719163	41.0	40.0	41.0	38.0	41.0
24	40.10770452791412	41.0	40.0	41.0	38.0	41.0
25	40.07684187143286	41.0	40.0	41.0	38.0	41.0
26	40.057068300796395	41.0	40.0	41.0	38.0	41.0
27	40.02233943449145	41.0	40.0	41.0	38.0	41.0
28	39.97872794379977	41.0	40.0	41.0	38.0	41.0
29	39.928652770749565	41.0	40.0	41.0	38.0	41.0
30	39.8631335381849	41.0	40.0	41.0	38.0	41.0
31	39.91345923929029	41.0	40.0	41.0	38.0	41.0
32	39.90380015353624	41.0	40.0	41.0	37.0	41.0
33	39.86642874306036	41.0	40.0	41.0	37.0	41.0
34	39.818465205428616	41.0	40.0	41.0	37.0	41.0
35	39.7533785435013	41.0	40.0	41.0	37.0	41.0
36	39.676497161218606	41.0	40.0	41.0	36.0	41.0
37	39.602617725503784	41.0	40.0	41.0	36.0	41.0
38	39.51318155118426	41.0	39.0	41.0	36.0	41.0
39	39.21636931581549	41.0	39.0	41.0	35.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.03984860722203365
1101	2	0.04132074084667181
1101	3	0.04668362487518607
1101	4	0.013926376480313252
1101	5	0.03993455377215582
1101	6	0.07551024587419874
1101	7	0.06063255342589002
1101	8	0.06192562146938485
1101	9	0.05192173431112934
1101	10	0.06918444391975243
1101	11	0.04922520444871026
1101	12	0.03602102821356823
1101	13	0.014841450375421061
1101	14	0.04975990622911297
1101	15	0.06698098001678687
1101	16	0.0660206317911829
1101	17	0.0388375141484687
1101	18	0.044627845100038144
1101	19	0.035326170997599604
1101	20	0.02950505988211205
1101	21	-0.04876110993905769
1101	22	0.0501014574977674
1101	23	0.07969299694768495
1101	24	0.04337165184440295
1101	25	0.12895675513089344
1101	26	0.10627352232155118
1101	27	0.11584553066798975
1101	28	0.01489891188373349
1101	29	0.0023935081011075
1101	30	0.025003712355044172
1101	31	0.07244874306597637
1101	32	0.1027425195489684
1101	33	0.09990203423429023
1101	34	0.0824796080821173
1101	35	0.03910325458015507
1101	36	0.09717402742366943
1101	37	0.05471531302197974
1101	38	0.013376533486415099
1101	39	0.11554937508203977
1102	1	0.05004110351292468
1102	2	0.09996578573313286
1102	3	0.08674007871882594
1102	4	0.05783307047281738
1102	5	0.08272663011686632
1102	6	0.08623018954608597
1102	7	0.06679406925559306
1102	8	0.031857977442932395
1102	9	0.024523074618414853
1102	10	0.02064639729817941
1102	11	0.019927042656270544
1102	12	0.04968122385317031
1102	13	0.06727468647570589
1102	14	0.032339054769359166
1102	15	0.0094272922857499
1102	16	0.03025762477531657
1102	17	-0.024434482733369123
1102	18	0.0033913927651880726
1102	19	0.08321701013557714
1102	20	0.055126806556494046
1102	21	0.01911552143872086
1102	22	0.006207022413398988
1102	23	0.034041137365619534
1102	24	0.03161127263550867
1102	25	0.12075365959942275
1102	26	0.0769659305997763
1102	27	0.049305748939417526
1102	28	0.023001107171289448
1102	29	0.01189667655736315
1102	30	0.004407175025093579
1102	31	0.031887788002734396
1102	32	0.02153071076278934
1102	33	0.03310010047010792
1102	34	-0.015580026791013779
1102	35	-0.007724517190411007
1102	36	-0.020044394886291172
1102	37	-0.024996508337437717
1102	38	0.020550823727063516
1102	39	0.04023661575897819
1103	1	0.0580603686987331
1103	2	0.10711288308841205
1103	3	0.10040321284990483
1103	4	0.08990325914764696
1103	5	0.04066650098046409
1103	6	0.059078793492702175
1103	7	0.049266785681886915
1103	8	0.05580318804990014
1103	9	0.06200201977053865
1103	10	0.09007314982184056
1103	11	0.026504343190829616
1103	12	0.06627332126692664
1103	13	0.025229763618327183
1103	14	0.009433427276412942
1103	15	0.03101187428853791
1103	16	-0.016476680590159276
1103	17	-0.03171609717231405
1103	18	0.00771407000606672
1103	19	0.020639955240909558
1103	20	0.039334500933676964
1103	21	-0.005442034327380441
